       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.137477,  0.745744,  0.638726,  0.372647,  0.209113,  2.250098,  7.206248,  1.106006,  0.001201 
  0.133696,  1.298831,  0.662486,  0.380694,  0.237547,  2.471992,  7.339120,  1.106006,  0.001201 
  0.135328,  0.959736,  0.683366,  0.367225,  0.168589,  2.627317,  7.285141,  1.106006,  0.001201 
  0.131547,  0.623933,  0.622166,  0.403085,  0.269564,  1.717554,  7.394687,  1.106006,  0.001201 
  0.139625,  1.186896,  0.674006,  0.419003,  0.301580,  1.872879,  7.251434,  1.106006,  0.001201 
  0.131783,  0.939983,  0.642758,  0.398187,  0.338522,  2.655765,  7.376002,  1.106006,  0.001201 
  0.136252,  0.780861,  0.649238,  0.391540,  0.289266,  2.041860,  7.297109,  1.106006,  0.001201 
  0.129893,  1.343824,  0.696038,  0.370723,  0.138363,  1.975292,  7.454894,  1.106006,  0.001201 
  0.138487,  1.126540,  0.615398,  0.377720,  0.094033,  2.382096,  7.486036,  1.106006,  0.001201 
  0.133932,  0.701848,  0.679478,  0.367924,  0.135900,  2.315528,  7.054202,  1.106006,  0.001201 
  0.134791,  1.264811,  0.630518,  0.409557,  0.059553,  1.605469,  7.000223,  1.106006,  0.001201 
  0.131010,  1.024482,  0.659318,  0.416479,  0.214710,  1.538901,  7.114410,  1.106006,  0.001201 
  0.138701,  0.688680,  0.685814,  0.395663,  0.227024,  2.101031,  6.954548,  1.106006,  0.001201 
  0.132858,  1.152877,  0.620294,  0.389540,  0.164558,  2.256357,  7.087420,  1.106006,  0.001201 
  0.136811,  0.915840,  0.665654,  0.371873,  0.265534,  2.468009,  7.033441,  1.106006,  0.001201 
  0.129162,  0.843412,  0.640454,  0.384118,  0.304939,  2.623335,  7.153856,  1.106006,  0.001201 
  0.137756,  1.337239,  0.650534,  0.365400,  0.341881,  1.787536,  6.915102,  1.106006,  0.001201 
  0.133459,  1.100202,  0.691574,  0.410707,  0.295087,  1.809725,  7.214064,  1.106006,  0.001201 
  0.135865,  0.764400,  0.624902,  0.415605,  0.149782,  2.704695,  7.325076,  1.106006,  0.001201 
  0.131069,  1.224208,  0.675302,  0.397937,  0.100525,  1.994636,  7.287705,  1.106006,  0.001201 
  0.139663,  0.987171,  0.634982,  0.388141,  0.129631,  1.928068,  7.412273,  1.106006,  0.001201 
  0.132272,  0.651368,  0.655142,  0.368899,  0.060673,  2.394045,  7.227498,  1.106006,  0.001201 
  0.135968,  1.204455,  0.697622,  0.384817,  0.215830,  2.327477,  7.385283,  1.106006,  0.001201 
  0.130124,  0.875237,  0.612662,  0.364001,  0.220755,  1.600349,  7.293934,  1.106006,  0.001201 
  0.138202,  0.815977,  0.670262,  0.408782,  0.176425,  1.533781,  7.451719,  1.106006,  0.001201 
  0.134421,  1.398693,  0.635241,  0.413680,  0.252772,  2.169875,  7.495318,  1.106006,  0.001201 
  0.134893,  1.062891,  0.663321,  0.394963,  0.300461,  2.192065,  7.044799,  1.106006,  0.001201 
  0.130596,  0.736965,  0.683481,  0.388841,  0.337403,  2.510112,  6.990820,  1.106006,  0.001201 
  0.139190,  1.286759,  0.622281,  0.375371,  0.297998,  2.569284,  7.123692,  1.106006,  0.001201 
  0.132573,  0.980586,  0.671961,  0.382069,  0.152692,  1.733485,  6.963830,  1.106006,  0.001201 
  0.137042,  0.615154,  0.644601,  0.361252,  0.105899,  1.814846,  7.084245,  1.106006,  0.001201 
  0.129651,  1.178117,  0.646617,  0.406558,  0.118213,  2.709816,  7.030266,  1.106006,  0.001201 
  0.137278,  0.926448,  0.693417,  0.414605,  0.055157,  1.981331,  7.163138,  1.106006,  0.001201 
  0.133497,  0.798053,  0.617097,  0.401136,  0.210314,  1.914763,  6.900325,  1.106006,  0.001201 
  0.135387,  1.361016,  0.680457,  0.386092,  0.222628,  2.454704,  7.215896,  1.106006,  0.001201 
  0.131606,  1.114103,  0.629337,  0.376296,  0.178297,  2.343757,  7.340463,  1.106006,  0.001201 
  0.139426,  0.695996,  0.658137,  0.381194,  0.247256,  1.641095,  7.261571,  1.106006,  0.001201 
  0.132036,  1.258959,  0.688377,  0.363526,  0.311289,  1.567130,  7.419356,  1.106006,  0.001201 
  0.136505,  1.041675,  0.617529,  0.405159,  0.343306,  2.114468,  7.222124,  1.106006,  0.001201 
  0.129759,  0.676243,  0.667209,  0.411631,  0.293378,  2.195828,  7.379910,  1.106006,  0.001201 
  0.138352,  1.137148,  0.642009,  0.401835,  0.148072,  2.513876,  7.301017,  1.106006,  0.001201 
