       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.137099,  0.868031,  0.687047,  0.364994,  0.060020,  1.506437,  7.475850,  1.076376,  0.009409 
  0.129488,  0.621930,  0.696953,  0.367787,  0.068854,  2.072068,  7.285026,  1.076376,  0.009409 
  0.136556,  0.769794,  0.621289,  0.360847,  0.055827,  1.783738,  6.953263,  1.076376,  0.009409 
  0.130449,  0.682734,  0.670883,  0.365345,  0.115900,  1.568103,  6.902947,  1.076376,  0.009409 
  0.139446,  0.601080,  0.634198,  0.407445,  0.342674,  2.747027,  7.050913,  1.076376,  0.009409 
  0.139261,  0.666314,  0.610479,  0.377683,  0.066676,  1.531165,  7.371491,  1.076376,  0.009409 
  0.134165,  0.648796,  0.669922,  0.370197,  0.079397,  1.695812,  7.496913,  1.076376,  0.009409 
  0.138498,  0.625074,  0.644958,  0.361806,  0.323371,  1.514577,  7.088498,  1.076376,  0.009409 
  0.132895,  1.274392,  0.664864,  0.419497,  0.109480,  2.748340,  7.470584,  1.076376,  0.009409 
  0.135325,  0.608193,  0.616613,  0.365474,  0.082979,  2.077583,  7.185006,  1.076376,  0.009409 
  0.137797,  0.702325,  0.611683,  0.366968,  0.137121,  1.673141,  7.140006,  1.076376,  0.009409 
  0.137206,  0.661680,  0.628898,  0.364606,  0.141090,  1.806365,  7.039605,  1.076376,  0.009409 
  0.132989,  0.692692,  0.685906,  0.360975,  0.123056,  1.856258,  7.094145,  1.076376,  0.009409 
  0.136354,  0.603884,  0.694701,  0.418509,  0.182917,  1.545564,  7.347116,  1.076376,  0.009409 
  0.129861,  0.635343,  0.677426,  0.414385,  0.326248,  2.189843,  7.299121,  1.076376,  0.009409 
  0.129830,  0.610387,  0.649474,  0.404532,  0.259406,  1.501229,  7.458444,  1.076376,  0.009409 
  0.136684,  1.255655,  0.620386,  0.406282,  0.073800,  2.677264,  7.015252,  1.076376,  0.009409 
  0.138262,  1.224982,  0.656092,  0.418583,  0.121196,  2.482374,  6.962710,  1.076376,  0.009409 
  0.129056,  1.052962,  0.628335,  0.360715,  0.103496,  1.539699,  7.061660,  1.076376,  0.009409 
  0.139097,  1.275124,  0.616658,  0.369504,  0.333189,  2.619975,  6.967429,  1.076376,  0.009409 
  0.139603,  0.688424,  0.693440,  0.363038,  0.254542,  1.779887,  6.997120,  1.076376,  0.009409 
  0.129965,  0.813324,  0.657347,  0.375316,  0.065301,  1.654016,  7.117765,  1.076376,  0.009409 
  0.133173,  0.734637,  0.630374,  0.363445,  0.066432,  2.094170,  6.919693,  1.076376,  0.009409 
  0.130583,  1.353608,  0.690985,  0.401505,  0.062096,  2.658795,  7.336369,  1.076376,  0.009409 
  0.135208,  1.231431,  0.647699,  0.363946,  0.351434,  2.733897,  7.320248,  1.076376,  0.009409 
  0.138757,  0.622825,  0.671581,  0.416940,  0.111861,  1.648020,  7.038887,  1.076376,  0.009409 
  0.131751,  1.241104,  0.690386,  0.362082,  0.268260,  1.531559,  7.220228,  1.076376,  0.009409 
  0.136436,  1.303737,  0.691521,  0.409259,  0.083212,  2.634899,  7.487495,  1.076376,  0.009409 
  0.132362,  1.394130,  0.678031,  0.407588,  0.065719,  2.596078,  7.450189,  1.076376,  0.009409 
  0.139102,  0.615427,  0.657894,  0.367069,  0.243225,  2.219210,  7.239035,  1.076376,  0.009409 
  0.139705,  1.286504,  0.610928,  0.419814,  0.095355,  2.048435,  7.045726,  1.076376,  0.009409 
  0.137440,  0.649731,  0.680377,  0.360590,  0.171010,  2.400532,  7.436339,  1.076376,  0.009409 
  0.129530,  1.211028,  0.610018,  0.361750,  0.274855,  1.758398,  6.926956,  1.076376,  0.009409 
  0.129812,  0.698829,  0.640816,  0.361522,  0.184708,  2.688600,  7.183468,  1.076376,  0.009409 
  0.133389,  1.398438,  0.631808,  0.379931,  0.331784,  1.708198,  7.321850,  1.076376,  0.009409 
