       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.129163,  0.627403,  0.627553,  0.403950,  0.349100,  1.581942,  7.383606,  1.076376,  0.009409 
  0.129250,  0.615946,  0.673951,  0.368892,  0.056623,  2.695662,  7.498561,  1.076376,  0.009409 
  0.136758,  0.819330,  0.656049,  0.363495,  0.064683,  1.506715,  7.057446,  1.076376,  0.009409 
  0.137834,  0.600985,  0.691794,  0.360083,  0.275094,  1.574684,  7.119148,  1.076376,  0.009409 
  0.129629,  0.736741,  0.677891,  0.365449,  0.104903,  1.539671,  6.993632,  1.076376,  0.009409 
  0.134658,  0.618624,  0.634839,  0.361893,  0.072594,  2.160003,  7.167699,  1.076376,  0.009409 
  0.132690,  0.601274,  0.670086,  0.418676,  0.351855,  2.561519,  7.295159,  1.076376,  0.009409 
  0.138832,  0.871964,  0.653221,  0.360765,  0.096761,  1.617618,  7.268902,  1.076376,  0.009409 
  0.139973,  0.641877,  0.640854,  0.362525,  0.153935,  1.986872,  7.014882,  1.076376,  0.009409 
  0.138126,  0.711334,  0.629580,  0.365352,  0.126735,  1.685237,  7.065592,  1.076376,  0.009409 
  0.133035,  0.624640,  0.647004,  0.363553,  0.093599,  2.723016,  7.086109,  1.076376,  0.009409 
  0.129576,  1.317095,  0.691356,  0.363953,  0.327118,  1.793339,  6.904510,  1.076376,  0.009409 
  0.129793,  0.670450,  0.695015,  0.399480,  0.321752,  1.570439,  7.223047,  1.076376,  0.009409 
  0.133243,  1.370669,  0.679797,  0.419789,  0.107976,  2.675529,  7.272688,  1.076376,  0.009409 
  0.129875,  1.257027,  0.692124,  0.417540,  0.064317,  2.571629,  7.136461,  1.076376,  0.009409 
  0.134165,  0.692723,  0.678709,  0.377733,  0.062730,  1.622739,  7.174988,  1.076376,  0.009409 
  0.136122,  0.626636,  0.665829,  0.367436,  0.174024,  1.684405,  7.445006,  1.076376,  0.009409 
  0.139983,  1.351602,  0.654757,  0.393844,  0.065307,  2.580601,  7.147725,  1.076376,  0.009409 
  0.139895,  0.609114,  0.650046,  0.413246,  0.215966,  1.619494,  6.969480,  1.076376,  0.009409 
  0.132191,  0.667971,  0.682412,  0.364774,  0.075858,  2.418930,  7.286976,  1.076376,  0.009409 
  0.133153,  0.632199,  0.674187,  0.362332,  0.131953,  2.261985,  6.911657,  1.076376,  0.009409 
  0.138214,  1.153096,  0.640232,  0.411644,  0.104333,  2.653515,  6.941578,  1.076376,  0.009409 
  0.134751,  0.957638,  0.626821,  0.369643,  0.077397,  1.516650,  7.424827,  1.076376,  0.009409 
  0.138335,  1.319213,  0.638181,  0.360489,  0.057153,  2.286362,  6.971650,  1.076376,  0.009409 
  0.134833,  0.780637,  0.612947,  0.361025,  0.134009,  1.707514,  7.302486,  1.076376,  0.009409 
  0.135650,  1.393181,  0.697641,  0.388960,  0.316147,  1.503345,  7.364066,  1.076376,  0.009409 
  0.129860,  0.712065,  0.671375,  0.401455,  0.337275,  1.915840,  7.107424,  1.076376,  0.009409 
  0.139595,  1.063191,  0.671571,  0.417355,  0.117515,  2.593293,  7.280777,  1.076376,  0.009409 
  0.134010,  0.894355,  0.630306,  0.362757,  0.071576,  1.799422,  7.222954,  1.076376,  0.009409 
  0.139870,  1.381195,  0.634103,  0.416748,  0.284097,  1.564749,  7.191417,  1.076376,  0.009409 
  0.136684,  1.395421,  0.611461,  0.418316,  0.076163,  2.090991,  7.218586,  1.076376,  0.009409 
  0.139288,  0.637366,  0.668594,  0.410318,  0.190897,  1.525885,  7.254311,  1.076376,  0.009409 
  0.129696,  1.353634,  0.665782,  0.417855,  0.196548,  1.532756,  7.395330,  1.076376,  0.009409 
  0.139332,  0.690203,  0.672695,  0.361171,  0.228165,  2.458013,  7.341386,  1.076376,  0.009409 
  0.131173,  1.374570,  0.656751,  0.397624,  0.333415,  1.512930,  7.137129,  1.076376,  0.009409 
  0.133188,  0.898013,  0.694012,  0.416574,  0.340185,  1.542034,  7.498834,  1.076376,  0.009409 
  0.130724,  0.706136,  0.664648,  0.414516,  0.324785,  2.252444,  7.183235,  1.076376,  0.009409 
  0.139439,  1.372574,  0.683000,  0.366962,  0.112617,  2.529482,  7.433497,  1.076376,  0.009409 
  0.134241,  0.604241,  0.636119,  0.365144,  0.207079,  1.764453,  7.388649,  1.076376,  0.009409 
  0.132037,  1.392287,  0.640887,  0.412972,  0.345966,  1.901128,  6.976696,  1.076376,  0.009409 
  0.138862,  0.606517,  0.625244,  0.371071,  0.239970,  2.131606,  7.000960,  1.076376,  0.009409 
  0.139409,  0.660777,  0.654396,  0.401772,  0.296717,  2.739822,  7.317263,  1.076376,  0.009409 
  0.130896,  0.710440,  0.624010,  0.371907,  0.076522,  1.993080,  7.012600,  1.076376,  0.009409 
  0.136436,  1.321322,  0.682302,  0.417095,  0.094169,  2.364828,  7.165124,  1.076376,  0.009409 
  0.130717,  0.934064,  0.652494,  0.373413,  0.098423,  1.502288,  7.230583,  1.076376,  0.009409 
