       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.133359,  0.641540,  0.665273,  0.365210,  0.352997,  2.260932,  6.921429,  1.076376,  0.009409 
  0.135765,  1.201211,  0.640073,  0.410516,  0.276649,  2.465757,  7.195477,  1.076376,  0.009409 
  0.131211,  0.895038,  0.652313,  0.415414,  0.160897,  2.621082,  7.353263,  1.076376,  0.009409 
  0.139804,  0.835779,  0.689264,  0.397746,  0.091939,  1.785284,  7.255685,  1.076376,  0.009409 
  0.132414,  1.388865,  0.627344,  0.387950,  0.110746,  1.807473,  7.413470,  1.076376,  0.009409 
  0.135916,  1.049770,  0.677744,  0.369233,  0.066415,  2.702443,  7.228695,  1.076376,  0.009409 
  0.130072,  0.723844,  0.633104,  0.385151,  0.196944,  1.992384,  7.386481,  1.076376,  0.009409 
  0.138150,  1.306561,  0.653984,  0.364335,  0.233886,  1.925816,  7.295131,  1.076376,  0.009409 
  0.134369,  0.970758,  0.698624,  0.407842,  0.187093,  2.391792,  7.452917,  1.076376,  0.009409 
  0.134970,  0.600571,  0.610640,  0.412740,  0.258514,  2.325224,  7.496515,  1.076376,  0.009409 
  0.130673,  1.163534,  0.668240,  0.395072,  0.317622,  1.596302,  7.042821,  1.076376,  0.009409 
  0.139267,  0.946250,  0.638720,  0.388950,  0.346056,  1.529734,  7.005451,  1.076376,  0.009409 
  0.132521,  0.788225,  0.662480,  0.375480,  0.277097,  2.165829,  7.130018,  1.076376,  0.009409 
  0.136990,  1.351188,  0.683360,  0.382477,  0.161345,  2.188018,  6.945243,  1.076376,  0.009409 
  0.129599,  1.110859,  0.622160,  0.361661,  0.084998,  2.506065,  7.103029,  1.076376,  0.009409 
  0.137420,  0.715797,  0.674000,  0.406967,  0.121940,  2.565237,  7.011679,  1.076376,  0.009409 
  0.133638,  1.278760,  0.642752,  0.415014,  0.072684,  1.729438,  7.169465,  1.076376,  0.009409 
  0.135529,  1.031846,  0.649232,  0.401544,  0.192690,  1.810799,  6.930710,  1.076376,  0.009409 
  0.131748,  0.663122,  0.696032,  0.385976,  0.229632,  2.705770,  7.186074,  1.076376,  0.009409 
  0.139314,  1.156949,  0.615392,  0.376180,  0.190227,  1.985469,  7.343859,  1.076376,  0.009409 
  0.131924,  0.919912,  0.679472,  0.381078,  0.261649,  1.918901,  7.264966,  1.076376,  0.009409 
  0.136392,  0.850776,  0.630512,  0.363410,  0.323219,  2.458842,  7.422752,  1.076376,  0.009409 
  0.129775,  1.313876,  0.659312,  0.405043,  0.335533,  2.347895,  7.225520,  1.076376,  0.009409 
  0.138369,  1.076839,  0.685808,  0.412040,  0.273067,  1.645232,  7.383305,  1.076376,  0.009409 
  0.134072,  0.770667,  0.620288,  0.402244,  0.157315,  1.571268,  7.304413,  1.076376,  0.009409 
  0.134545,  1.234864,  0.665648,  0.392448,  0.088356,  2.118605,  7.462198,  1.076376,  0.009409 
  0.130763,  0.997827,  0.640448,  0.373473,  0.125299,  2.199966,  7.498347,  1.076376,  0.009409 
  0.138842,  0.638979,  0.650528,  0.378370,  0.078505,  2.518013,  7.058209,  1.076376,  0.009409 
  0.132998,  1.221695,  0.691568,  0.360703,  0.204109,  2.560116,  6.979316,  1.076376,  0.009409 
  0.136693,  0.885893,  0.624896,  0.406009,  0.236125,  1.724318,  7.137101,  1.076376,  0.009409 
  0.129302,  0.826634,  0.675296,  0.418254,  0.183958,  1.879643,  6.939870,  1.076376,  0.009409 
  0.137896,  1.376428,  0.634976,  0.399537,  0.255380,  2.730235,  7.097655,  1.076376,  0.009409 
  0.133148,  1.070255,  0.655136,  0.393414,  0.324338,  2.027572,  7.018762,  1.076376,  0.009409 
  0.135554,  0.744329,  0.697616,  0.372598,  0.329264,  1.953607,  7.176548,  1.076376,  0.009409 
  0.131258,  1.297416,  0.612656,  0.380645,  0.284933,  2.404791,  6.919108,  1.076376,  0.009409 
  0.139851,  0.957224,  0.670256,  0.367175,  0.144553,  2.353016,  7.193157,  1.076376,  0.009409 
  0.132203,  0.621421,  0.635235,  0.403035,  0.083879,  1.650353,  7.350942,  1.076376,  0.009409 
  0.136156,  1.184384,  0.663315,  0.418954,  0.120821,  1.566147,  7.259593,  1.076376,  0.009409 
  0.130312,  0.937470,  0.683475,  0.398137,  0.081416,  2.113485,  7.417378,  1.076376,  0.009409 
  0.138004,  0.786030,  0.622275,  0.391490,  0.207019,  2.268810,  7.232603,  1.076376,  0.009409 
  0.134222,  1.348993,  0.671955,  0.370674,  0.241498,  2.542479,  7.390389,  1.076376,  0.009409 
  0.135082,  1.131709,  0.644595,  0.377671,  0.172540,  2.609047,  7.289636,  1.076376,  0.009409 
  0.130527,  0.707018,  0.646611,  0.367875,  0.263664,  1.765851,  7.464030,  1.076376,  0.009409 
  0.139121,  1.269981,  0.693411,  0.409507,  0.318660,  1.832419,  7.474411,  1.076376,  0.009409 
  0.132761,  1.019775,  0.617091,  0.416430,  0.330974,  2.742183,  7.067490,  1.076376,  0.009409 
  0.137230,  0.683973,  0.680451,  0.395613,  0.286643,  2.039520,  6.976141,  1.076376,  0.009409 
  0.129356,  1.148170,  0.629331,  0.389491,  0.138875,  1.945073,  7.133926,  1.076376,  0.009409 
  0.137434,  0.911133,  0.658131,  0.371823,  0.094544,  2.396257,  6.949151,  1.076376,  0.009409 
  0.133653,  0.837079,  0.688371,  0.384068,  0.126561,  2.285310,  7.106937,  1.076376,  0.009409 
  0.135286,  1.330906,  0.617523,  0.365351,  0.076633,  1.671404,  7.009359,  1.076376,  0.009409 
  0.131505,  1.093869,  0.667203,  0.410657,  0.202236,  1.508683,  7.167144,  1.076376,  0.009409 
  0.139583,  0.758067,  0.642003,  0.415555,  0.244104,  2.144777,  6.928390,  1.076376,  0.009409 
  0.131805,  1.228849,  0.651363,  0.397887,  0.167757,  2.211345,  7.189982,  1.076376,  0.009409 
  0.136274,  0.991812,  0.690243,  0.388091,  0.268732,  2.544186,  7.347767,  1.076376,  0.009409 
  0.129915,  0.656009,  0.626883,  0.368849,  0.308137,  2.610754,  7.268874,  1.076376,  0.009409 
  0.138508,  1.209096,  0.677283,  0.384768,  0.326944,  1.757317,  7.426660,  1.076376,  0.009409 
  0.133954,  0.870001,  0.631779,  0.363951,  0.282613,  1.823885,  7.218559,  1.076376,  0.009409 
  0.134813,  0.810742,  0.656259,  0.408733,  0.142233,  2.674477,  7.392953,  1.076376,  0.009409 
  0.131032,  1.393458,  0.698019,  0.413631,  0.097902,  2.060572,  7.305756,  1.076376,  0.009409 
  0.138659,  1.057655,  0.610899,  0.394914,  0.132382,  1.897850,  7.438628,  1.076376,  0.009409 
