       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1 
  0.137477,  0.745744,  0.638726,  0.372647,  0.209113,  2.250098,  7.206248 
  0.133696,  1.298831,  0.662486,  0.380694,  0.237547,  2.471992,  7.339120 
  0.135328,  0.959736,  0.683366,  0.367225,  0.168589,  2.627317,  7.285141 
  0.131547,  0.623933,  0.622166,  0.403085,  0.269564,  1.717554,  7.394687 
  0.139625,  1.186896,  0.674006,  0.419003,  0.301580,  1.872879,  7.251434 
  0.131783,  0.939983,  0.642758,  0.398187,  0.338522,  2.655765,  7.376002 
  0.136252,  0.780861,  0.649238,  0.391540,  0.289266,  2.041860,  7.297109 
  0.129893,  1.343824,  0.696038,  0.370723,  0.138363,  1.975292,  7.454894 
  0.138487,  1.126540,  0.615398,  0.377720,  0.094033,  2.382096,  7.486036 
  0.133932,  0.701848,  0.679478,  0.367924,  0.135900,  2.315528,  7.054202 
  0.134791,  1.264811,  0.630518,  0.409557,  0.059553,  1.605469,  7.000223 
  0.131010,  1.024482,  0.659318,  0.416479,  0.214710,  1.538901,  7.114410 
  0.138701,  0.688680,  0.685814,  0.395663,  0.227024,  2.101031,  6.954548 
  0.132858,  1.152877,  0.620294,  0.389540,  0.164558,  2.256357,  7.087420 
  0.136811,  0.915840,  0.665654,  0.371873,  0.265534,  2.468009,  7.033441 
  0.129162,  0.843412,  0.640454,  0.384118,  0.304939,  2.623335,  7.153856 
  0.137756,  1.337239,  0.650534,  0.365400,  0.341881,  1.787536,  6.915102 
  0.133459,  1.100202,  0.691574,  0.410707,  0.295087,  1.809725,  7.214064 
  0.135865,  0.764400,  0.624902,  0.415605,  0.149782,  2.704695,  7.325076 
  0.131069,  1.224208,  0.675302,  0.397937,  0.100525,  1.994636,  7.287705 
  0.139663,  0.987171,  0.634982,  0.388141,  0.129631,  1.928068,  7.412273 
  0.132272,  0.651368,  0.655142,  0.368899,  0.060673,  2.394045,  7.227498 
  0.135968,  1.204455,  0.697622,  0.384817,  0.215830,  2.327477,  7.385283 
  0.130124,  0.875237,  0.612662,  0.364001,  0.220755,  1.600349,  7.293934 
  0.138202,  0.815977,  0.670262,  0.408782,  0.176425,  1.533781,  7.451719 
  0.134421,  1.398693,  0.635241,  0.413680,  0.252772,  2.169875,  7.495318 
  0.134893,  1.062891,  0.663321,  0.394963,  0.300461,  2.192065,  7.044799 
  0.130596,  0.736965,  0.683481,  0.388841,  0.337403,  2.510112,  6.990820 
  0.139190,  1.286759,  0.622281,  0.375371,  0.297998,  2.569284,  7.123692 
  0.132573,  0.980586,  0.671961,  0.382069,  0.152692,  1.733485,  6.963830 
  0.137042,  0.615154,  0.644601,  0.361252,  0.105899,  1.814846,  7.084245 
  0.129651,  1.178117,  0.646617,  0.406558,  0.118213,  2.709816,  7.030266 
  0.137278,  0.926448,  0.693417,  0.414605,  0.055157,  1.981331,  7.163138 
  0.133497,  0.798053,  0.617097,  0.401136,  0.210314,  1.914763,  6.900325 
  0.135387,  1.361016,  0.680457,  0.386092,  0.222628,  2.454704,  7.215896 
  0.131606,  1.114103,  0.629337,  0.376296,  0.178297,  2.343757,  7.340463 
  0.139426,  0.695996,  0.658137,  0.381194,  0.247256,  1.641095,  7.261571 
  0.132036,  1.258959,  0.688377,  0.363526,  0.311289,  1.567130,  7.419356 
  0.136505,  1.041675,  0.617529,  0.405159,  0.343306,  2.114468,  7.222124 
  0.129759,  0.676243,  0.667209,  0.411631,  0.293378,  2.195828,  7.379910 
  0.138352,  1.137148,  0.642009,  0.401835,  0.148072,  2.513876,  7.301017 
  0.134055,  0.900111,  0.651369,  0.392039,  0.108667,  2.562806,  7.458802 
  0.134657,  0.860605,  0.690249,  0.374372,  0.113593,  1.727007,  7.483716 
  0.130876,  1.324802,  0.626889,  0.379270,  0.069262,  1.882333,  7.051882 
  0.138954,  1.087765,  0.677289,  0.360552,  0.199791,  2.732925,  6.997903 
  0.133110,  0.750865,  0.631785,  0.405859,  0.218598,  2.030262,  7.118318 
  0.136580,  1.244692,  0.656265,  0.418103,  0.174267,  1.956297,  6.958456 
  0.129189,  1.007655,  0.698025,  0.399311,  0.250614,  2.407481,  7.091328 
  0.137783,  0.642223,  0.610905,  0.393189,  0.314647,  2.355706,  7.037349 
  0.133228,  1.201894,  0.668505,  0.372373,  0.349127,  1.653043,  7.148361 
  0.135634,  0.895721,  0.637545,  0.380419,  0.280168,  1.562010,  6.917911 
  0.131338,  0.836462,  0.660873,  0.366950,  0.154565,  2.109347,  7.191959 
  0.139931,  1.389548,  0.685353,  0.403335,  0.102398,  2.264672,  7.349745 
  0.132154,  1.050454,  0.624153,  0.419253,  0.114712,  2.538341,  7.258395 
  0.136107,  0.724528,  0.673113,  0.398437,  0.070381,  2.604909,  7.416181 
  0.130263,  1.307244,  0.643593,  0.391789,  0.193522,  1.761714,  7.231406 
  0.138084,  0.971441,  0.648633,  0.370973,  0.230464,  1.828282,  7.389191 
  0.134302,  0.601620,  0.695433,  0.377445,  0.181208,  2.738045,  7.291613 
  0.135162,  1.164583,  0.613699,  0.367650,  0.247032,  2.035382,  7.449399 
  0.130414,  0.947299,  0.681379,  0.409282,  0.311065,  1.951177,  7.492997 
  0.139008,  0.789274,  0.629539,  0.417329,  0.352933,  2.402360,  7.048707 
  0.132648,  1.352237,  0.658339,  0.396512,  0.276586,  2.291413,  6.994728 
  0.137117,  1.111908,  0.686419,  0.390390,  0.160834,  1.677508,  7.127600 
  0.129468,  0.716846,  0.619459,  0.371673,  0.091875,  1.514786,  6.967738 
  0.137547,  1.279809,  0.664675,  0.383918,  0.110682,  2.150881,  7.077284 
  0.133765,  1.032895,  0.639475,  0.364976,  0.066351,  2.217449,  7.039914 
  0.135269,  0.664171,  0.653155,  0.410282,  0.196880,  2.550289,  7.164481 
  0.131488,  1.157998,  0.691315,  0.415180,  0.233822,  2.616857,  6.925727 
  0.139566,  0.920961,  0.625795,  0.397512,  0.187029,  1.753179,  7.187319 
  0.131918,  0.851826,  0.676195,  0.387716,  0.258451,  1.819747,  7.345104 
  0.136386,  1.311227,  0.634435,  0.368999,  0.317558,  2.670339,  7.266211 
  0.130027,  1.074190,  0.653587,  0.384917,  0.345992,  2.056434,  7.423997 
  0.138621,  0.768017,  0.699667,  0.364101,  0.277034,  1.893712,  7.220537 
  0.133816,  1.232215,  0.611827,  0.408882,  0.161281,  2.433653,  7.378322 
  0.134676,  0.995178,  0.669427,  0.413780,  0.084934,  2.293120,  7.299429 
  0.130895,  0.636330,  0.636307,  0.394538,  0.121877,  1.679215,  7.457215 
  0.138715,  1.219046,  0.662947,  0.388416,  0.072620,  1.506252,  7.488357 
  0.132871,  0.883243,  0.682243,  0.374946,  0.192626,  2.142346,  7.056523 
  0.136824,  0.823984,  0.621043,  0.382993,  0.229568,  2.208915,  7.002544 
  0.129047,  1.373778,  0.674323,  0.362177,  0.190164,  2.482583,  7.113555 
  0.137641,  1.067606,  0.644083,  0.407483,  0.261585,  2.637909,  6.970303 
  0.133344,  0.741680,  0.646963,  0.414480,  0.323155,  1.705956,  7.094870 
  0.135750,  1.294766,  0.693763,  0.401011,  0.335469,  1.861281,  7.015977 
  0.131195,  0.957866,  0.616003,  0.385731,  0.273004,  2.682287,  7.173763 
  0.139789,  0.622064,  0.678931,  0.375935,  0.157251,  2.068382,  6.922552 
  0.132398,  1.185027,  0.631411,  0.380833,  0.088293,  1.888591,  7.196600 
  0.135900,  0.938113,  0.660211,  0.363166,  0.125235,  2.428532,  7.354386 
  0.130057,  0.786673,  0.687571,  0.404798,  0.078442,  2.361964,  7.256808 
  0.138135,  1.349636,  0.618451,  0.411795,  0.204045,  1.614923,  7.414593 
  0.134353,  1.132352,  0.666691,  0.401999,  0.236061,  1.548355,  7.229818 
  0.134955,  0.707660,  0.641491,  0.392204,  0.183895,  2.088295,  7.387604 
